"","Deployment_fk","Receiver","Station","Zone","Latitude","Longitude","Mooring_type","Quality","Time","Milliseconds","Number_clicks_filtered","Number_clicks_total","Lost_minutes","Dpm","Dp10m","Dph","Recorded","Click_frequency","Click_intensity"
"1",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-06-29,15626,476,2292347,73,8,6,5,1440,0.00555555555555556,85680
"2",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-06-30,337,30,1989682,101,2,2,2,1440,0.00138888888888889,21600
"3",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-01,45221,1671,1822854,44,21,5,4,1440,0.0145833333333333,114582.857142857
"4",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-02,26177,947,2774638,159,22,8,6,1440,0.0152777777777778,61985.4545454545
"5",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-03,6068,263,1599418,36,9,5,4,1440,0.00625,42080
"6",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-04,9906,429,1033881,6,26,14,10,1440,0.0180555555555556,23760
"7",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-05,11665,628,1788518,51,20,9,5,1440,0.0138888888888889,45216
"8",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-06,41647,1086,1299680,15,25,11,7,1440,0.0173611111111111,62553.6
"9",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-07,41966,1913,1538102,51,43,11,7,1440,0.0298611111111111,64063.2558139535
"10",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-08,17937,662,1263272,13,22,9,5,1440,0.0152777777777778,43330.9090909091
"11",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-09,7241,325,1199881,21,14,5,4,1440,0.00972222222222222,33428.5714285714
"12",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-10,55595,2001,1429710,37,45,16,8,1440,0.03125,64032
"13",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-11,16749,829,2857504,155,30,11,5,1440,0.0208333333333333,39792
"14",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-12,18393,349,1850069,51,16,8,5,1440,0.0111111111111111,31410
"15",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-13,21900,841,1281200,27,26,11,7,1440,0.0180555555555556,46578.4615384615
"16",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-14,16791,922,1177202,20,24,11,6,1440,0.0166666666666667,55320
"17",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-15,4741,121,1619010,37,6,5,4,1440,0.00416666666666667,29040
"18",2554,"POD-2725","bpns-Gootebank","Gootebank",51.4491666667,2.8786666667,"surface-buoy","hi+mod",2016-07-16,5968,316,1491608,19,12,6,5,1440,0.00833333333333333,37920
